"ПРОВЕРКА ФОРМУЛИРОВОК БРЕНДА — Школа английского языка Ольги Карпенко. Здесь собраны реальные тексты школы из всех источников: сайт 2025, Notion 2024, презентация «Ценности школы» 2024, стратегия 2024, плюс новые предложения. По каждой формулировке: оставляем как есть, убираем совсем, или меняем — и тогда на что. Ответы из формы падают на соседний лист этого же файла."

ID,Блок,Формулировка,Источник,Статус сегодня
N1,Имя и дескриптор,Школа Ольги Карпенко,"Сайт, шапка на всех страницах",Работает сейчас
N3,Имя и дескриптор,Английский язык для детей без зубрежки и стресса. Минигруппы. Онлайн,"Сайт, подвал всех страниц",Работает сейчас
N4,Имя и дескриптор,Языковая школа для детей от 5 до 17 лет,"Notion, заголовок страницы, 2024","Только в Notion, сайт говорит 6–15"
N5,Имя и дескриптор,дети от 6 до 15 лет,"Сайт, плашка на первом экране",Работает сейчас
P1,Главное обещание,"Свободный английский для жизни, а успеваемость в школе — бонусом","Сайт, главный заголовок",Работает сейчас
P2,Главное обещание,"Ваш ребенок не только улучшит оценки, но и свободно заговорит на английском благодаря авторской методике","Сайт, подзаголовок первого экрана",Работает сейчас
P3,Главное обещание,"Языковая онлайн-школа для детей, где начинают говорить с первого занятия, опережая школьную программу","Notion, строка «Позиционирование», 2024",Только в Notion
P4,Главное обещание,Второй родной язык,"Стратегия Fair Winds, 2024",Нигде не используется
P5,Главное обещание,"Авторская онлайн-школа, где дети осваивают английский как родной: без перевода, без заучивания, в мини-группах","Новое предложение, сентябрь 2026",Предложение
M1,Миссия и смысл,"Создавать свободных и успешных людей с детского возраста. Показать, что учить языки и сдавать языковые экзамены не сложно","Notion, раздел «Миссия», 2024",Только в Notion
M2,Миссия и смысл,"Я мечтала о месте, где дети будут любить учиться","Сайт, блок основателя",Работает сейчас
M3,Миссия и смысл,"Мы убрали всё, что мешает — скучные задания, страх ошибиться, зубрёжку — и оставили главное: живой интерес, поддержку и вдохновение","Сайт, блок основателя",Работает сейчас
M4,Миссия и смысл,"Мы не учим языки, мы живем на языках","Notion и презентация «Ценности школы», 2024",На сайте не используется
M5,Миссия и смысл,"Привить любовь к языку и показать, что язык — это двери перспектив","Notion, третья ценность, 2024",Только в Notion
M6,Миссия и смысл,Ключевой принцип — ты мне интересен!,"Notion, 2024",Только в Notion
E1,Экзамены и перспективы,Сдача всех языковых экзаменов на высший балл,"Notion, вторая ценность, 2024","Только в Notion, сайту противоречит"
E2,Экзамены и перспективы,"Готовим к международным экзаменам, чтобы в будущем открыть все карьерные двери","Notion, 2024",Только в Notion
E3,Экзамены и перспективы,Мы делаем выездные туры в Армению и Казахстан для сдачи экзамена в языковом центре,"Notion, 2024","Только в Notion, на сайте нет"
E4,Экзамены и перспективы,Вам нужен английский только для оценок? Мы не делаем за ребенка домашку и не готовим к контрольным за неделю. Для этого лучше обратиться к репетитору,"Сайт, блок «школа вам не подойдёт»",Работает сейчас
E5,Экзамены и перспективы,С нами вам не понадобятся репетиторы даже перед экзаменами,"Сайт, блок «школа вам не подойдёт»",Работает сейчас
T1,Методика,i5 learning — название методики,"Сайт, раздел «Методика» и регалии преподавателей",Работает сейчас
T2,Методика,"Методика i5 learning основана на погружении в язык. Дети начинают использовать английский в процессе — сначала понимать, потом говорить, а дальше читать и писать","Сайт, раздел «О нас»",Работает сейчас
T3,Методика,Мозг начинает воспринимать английский как «второй родной» — как это происходит у билингвов,"Сайт, описание элемента Immersion","Работает сейчас, но спрятано в попапе"
T4,Методика,"Программа опережает школьную на 2-3 года, полностью альтернативная","Notion и презентация, 2024",На сайте не используется
T5,Методика,"Наши дети читают на английском, как на русском. Умеют выхватывать суть, читая по диагонали","Notion, 2024",Только в Notion
T6,Методика,"Берут все! Есть ученики, которые много лет не могли побороть языковой барьер, но благодаря нашей методике у них получилось обогнать даже лидеров","Notion, 2024",Только в Notion
T7,Методика,"Наши ученики не проходят курс, они учатся здесь как в школе — с младшего по старший возраст","Notion, 2024",Только в Notion
D1,Чего не делаем,Не учим алфавит и темы традиционным способом,"Notion, презентация и сайт","Работает, но разбросано"
D2,Чего не делаем,Нет заучивания тонны слов,"Notion, презентация и сайт","Работает, но разбросано"
D3,Чего не делаем,Не прописываем скучные грамматические упражнения,"Notion, презентация и сайт","Работает, но разбросано"
D4,Чего не делаем,Мы не стремимся быть школой «для всех»,"Сайт, заголовок блока анти-персон",Работает сейчас
D5,Чего не делаем,"У нас не самая низкая стоимость занятия. Но соотношение результата к затраченным вами нервам и средствам у нас, вероятно, одно из лучших","Сайт, блок «школа вам не подойдёт»",Работает сейчас
R1,Родителю,"Наша методика идеально подходит для занятых родителей, потому что домашние задания просты","Notion, 2024",На сайте не используется
R2,Родителю,"Простые домашние задания, которые не занимают больше 20 минут в день","Notion, 2024","На сайте нет, там форматы Smart и Chill"
R3,Родителю,"Ваше участие — это эмоциональная поддержка, а не помощь в выполнении заданий","Сайт, ответ в разделе частых вопросов",Работает сейчас
R4,Родителю,"Родители всегда рядом: можно подсмотреть, как проходит занятие, при этом ребёнок не чувствует, что его контролируют","Сайт, блок «почему онлайн»",Работает сейчас
U1,Преподаватели,"Отбираем педагогов, как жемчужины","Сайт, заголовок блока о преподавателях",Работает сейчас
U2,Преподаватели,"Все преподаватели проходят дополнительную методическую подготовку, поскольку мы учим учить!","Notion и презентация, 2024",На сайте не используется
U3,Преподаватели,"Английские имена преподавателей: Миссис Эванс, Мисс Риа, Мисс Льюис, Мисс Спэллман","Сайт, раздел «Преподаватели»",Работает сейчас
