"СОГЛАСОВАНИЕ ПОЗИЦИОНИРОВАНИЯ — Школа английского языка Ольги Карпенко. В своей колонке поставьте «да» (согласен, берём как есть) или «обсудить» (есть сомнение или правка). Комментарий по желанию, но для «обсудить» он важнее всего: одно слово о том, что не так. Пустая ячейка = ещё не смотрел. Править можно в любой момент, все видят друг друга. Документ-первоисточник: brand/01-positioning.md"

ID,Раздел,Утверждение,Гоша,Гоша — комментарий,Ольга,Ольга — комментарий,Сергей,Сергей — комментарий
A1,Решения и допущения,"Имя бренда — «Школа английского языка Ольги Карпенко». Fair Winds остаётся в домене, юрлице и истории до отдельного решения по архитектуре бренда.",,,,,,
A2,Решения и допущения,"Экзаменационного продукта сейчас нет. Экзамены — вехи маршрута, а не обещание. Если продукт появится к Новому году 2027, позиционирование дополняется, не переписывается.",,,,,,
A3,Решения и допущения,"Ядро обещания — «свободный английский для жизни». «Второй родной язык» — не конкурент, а расшифровка: объясняет, откуда берётся свобода.",,,,,,
A4,Решения и допущения,"В коммуникации говорим с родителями детей 6–10 лет. Подростки 11–15 остаются в школе, но не в фокусе рекламы и первого экрана.",,,,,,
B1,01 — Категория,"Родитель сравнивает нас с пятью вариантами: репетитор рядом с домом, крупная онлайн-платформа, маленькая онлайн-школа с именем, офлайн-курсы в городе, «ничего, в школе научат».",,,,,,
B2,01 — Категория,"Мы — школа, а не курсы и не репетитор. У курса есть конец, репетитор решает задачу к контрольной, а школа — место, где ребёнок растёт годами. 77 % продлений подтверждают, что семьи так нас и используют.",,,,,,
B3,01 — Категория,"Категория, которую занимаем: «авторская онлайн-школа английского, где язык осваивают как родной».",,,,,,
B4,01 — Категория,"С именем Ольги рамка «школа» усиливается: как школа у художника или музыканта — авторский метод плюс ученики, которые его несут. Этим не может быть ни платформа, ни репетитор.",,,,,,
C1,02 — Карта конкурентов,Ось 1 — кто отвечает за результат: платформа-конвейер или автор с именем. Ось 2 — зачем учат язык: для оценок и экзаменов или для речи и жизни.,,,,,,
C2,02 — Карта конкурентов,"Skysmart / Skyeng Kids — платформа для школьной успеваемости. Сильны масштабом и рекламой, уязвимы как «конвейер»: ребёнок — строка в CRM, текучка учителей.",,,,,,
C3,02 — Карта конкурентов,"Novakid — платформа для говорения через носителей и игру, 4–12 лет. Уязвимы: индивидуальный формат дороже, носитель не всегда понимает русскоязычного новичка, дети перерастают к 11–12.",,,,,,
C4,02 — Карта конкурентов,"Офлайн-сети (BKC, Alibra, EF, Language Link) — институция плюс Cambridge-экзамены. Уязвимы: возить, жёсткое расписание, учебник и грамматика — ровно то, против чего мы.",,,,,,
C5,02 — Карта конкурентов,"Репетитор — человек плюс оценки. Даёт доверие и гибкость, но натаскивает к контрольной, не система, ребёнок не говорит.",,,,,,
C6,02 — Карта конкурентов,"Ближайший сосед — авторские онлайн-школы одного преподавателя (Татьяна Фанштейн, Goodwill Land и подобные). У них нет команды, лестницы уровней до CAE и методики, которой обучают других.",,,,,,
C7,02 — Карта конкурентов,"Наша незанятая территория: личное как у репетитора, системное как у платформы, и без натаскивания как ни у кого из крупных.",,,,,,
D1,03 — Территория,"Пространство: английский, который ребёнок не учит, а осваивает как родной, и школьные оценки приходят сами, как побочный эффект.",,,,,,
D2,03 — Территория,"Аудитория, которую делаем своей: мама ребёнка 6–10 лет, которая сама «так и не выучила английский» школьным методом и не хочет повторять это с ребёнком. Ей нужен не результат к контрольной, а чтобы ребёнок заговорил и полюбил язык.",,,,,,
D3,03 — Территория,"Ров: методика i5 learning — система, отточенная за 20 лет и переданная команде («мы учим учить»). Платформа не скопирует без перестройки педагогики, одиночка не воспроизведёт школу с шестью педагогами и маршрутом до CAE.",,,,,,
D4,03 — Территория,"Часть рва — публичные отказы (оценки, зубрёжка, «выучим за 3 месяца»). Крупный игрок отказаться не может: на этом стоит его воронка.",,,,,,
E1,04 — Формулировки,"Базовая: Для родителей детей 6–10 лет, которые хотят, чтобы ребёнок заговорил по-английски и полюбил язык, а не зубрил ради оценок, Школа английского языка Ольги Карпенко — авторская онлайн-школа, где английский осваивают как родной: без перевода, без заучивания, в мини-группах до 6 детей, — потому что методика i5 learning отточена за 20 лет практики, ей обучен каждый преподаватель школы, и 77 % семей остаются на следующий год.",,,,,,
E2,04 — Формулировки,"Стратегическая (внутренняя): позиция «авторская школа, а не курсы и не репетитор». Выигрываем у платформ личным отношением и педагогикой, у репетиторов и школ-одиночек — системой и маршрутом до CAE, у всех — публичным отказом от натаскивания на оценки.",,,,,,
E3,04 — Формулировки,"Человеческая (для сайта и консультации): Мы учим английскому так, как ребёнок выучил русский: сначала слушает, потом говорит, а читает и пишет уже тем, что понимает. На уроке ни слова по-русски и ни одного списка слов на зубрёжку. Через несколько занятий ребёнок начинает говорить, а через год вы забываете, что английский был проблемой. Оценки подтянутся сами, мы этого даже не обещаем отдельно.",,,,,,
E4,04 — Формулировки,"Мы сознательно отдаём три сегмента: «нужен результат к контрольной», «нужно индивидуально», «нужно дёшево».",,,,,,
F1,05 — Доказательства,"Главное доказательство — семьи остаются: 77 % продлили обучение, 11 семей привели второго ребёнка (20 % базы — братья и сёстры).",,,,,,
F2,05 — Доказательства,"Методика с именем и историей: i5 learning, автор Ольга Карпенко, 20+ лет практики, школа с 2007 года, открытые занятия с демонстрацией результата.",,,,,,
F3,05 — Доказательства,"Команда учит по методике, а не «по-своему»: отбор из десятков кандидатов, курс i5, уровень C1, профильное образование, TKT/CAE. Это ответ на страх «а если не Ольга, то кто?».",,,,,,
F4,05 — Доказательства,"Маршрут на годы, не курс: лестница Pre-Starters → CAE внутри одной школы. Экзамены здесь — вехи, не цель.",,,,,,
F5,05 — Доказательства,"Формат под методику, а не под экономику: мини-группы до 6 детей. Лицензия № Л035-01298-77/01720183 — вычет 13 % и маткапитал.",,,,,,
F6,05 — Доказательства,"Чтобы доказательства заработали публично, не хватает: записи реального урока, полных текстов отзывов (сейчас картинки), видимого прогресса ребёнка через месяц и через год.",,,,,,
G1,06 — Чем школа отказывается быть,"Не для тех, кому нужен результат к контрольной. Не делаем домашку за ребёнка и не готовим к тесту за неделю; для этого есть репетитор, и мы честно об этом говорим.",,,,,,
G2,06 — Чем школа отказывается быть,Никогда не конкурируем по цене. Конкурируем соотношением результата к нервам и деньгам родителя.,,,,,,
G3,06 — Чем школа отказывается быть,"Индивидуальные занятия — не основной продукт. Мини-группа — часть методики, а не компромисс. Уход «на индивидуальные» — неподходящий клиент, а не поражение.",,,,,,
G4,06 — Чем школа отказывается быть,"Не продаём «свободный английский за 3 месяца», носителей и геймификацию ради геймификации. Не пугаем «ребёнок отстанет», не торгуемся скидками.",,,,,,
G5,06 — Чем школа отказывается быть,Не учим по учебнику через грамматику и транскрипцию. Манифест отказов из Notion и сайта остаётся в силе целиком.,,,,,,
H1,07 — В одном предложении,"«Авторская онлайн-школа, где дети 6–10 лет осваивают английский как родной, без перевода и зубрёжки, по методике i5 learning Ольги Карпенко, а оценки в школе приходят бонусом.»",,,,,,
H2,07 — В одном предложении,"Для шапки и первого экрана остаётся то, что уже стоит на сайте: «Свободный английский для жизни, а успеваемость в школе — бонусом».",,,,,,
R1,Красные флаги,"«Свободный английский для жизни» само по себе не отличие — так может сказать половина рынка. В коммуникации обещание никогда не ходит без метода: «как родной», «без перевода», i5 learning.",,,,,,
R2,Красные флаги,"Личный бренд — риск «школа = один человек». Команда, обученная методике, должна быть видна на сайте и в рекламе. Отдельно нужна архитектура бренда: Школа Ольги Карпенко, i5 learning, Fair Winds, псевдонимы преподавателей.",,,,,,
R3,Красные флаги,"Сайт обещает 6–15, позиционирование говорит с мамой 6–10. Это не конфликт, если подростки — ученики, выросшие внутри школы, а не отдельный набор. Но вопрос, куда деть базу Movers/KET/PET, приносящую основные деньги, открыт.",,,,,,
R4,Красные флаги,"Лестница до CAE против «не для экзаменов» разрешается только формулой: экзамены — вехи, не цель, и наши дети их сдают, потому что владеют языком.",,,,,,
R5,Красные флаги,"Двойное имя на сайте (Школа Ольги Карпенко в шапке, Fair Winds в домене и «О нас») нужно довести до конца или осознанно оформить как «Школа Ольги Карпенко (Fair Winds)».",,,,,,
R6,Красные флаги,"Данных о восприятии нет: ни одного интервью с родителем о том, как он описывает школу другим и с кем сравнивал. Самая дешёвая проверка — пять звонков мамам действующих учеников.",,,,,,
R7,Красные флаги,"Амбиция на 5 лет не сформулирована. Без неё позиционирование защищает то, что есть, а не ведёт туда, куда школа хочет.",,,,,,
